data	target	positive_counts	negative_counts	A:I_ratio	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
Mordred descriptors	A0A5F9DUN4	11 (0.27%)	4089 (446072.73%)	0.0027	GradientBoosting	200	86	8	0	0	88	3	0	0	22	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8666666666666666	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.382668956120809
Mordred descriptors	A0A5F9DUN4	11 (0.27%)	4089 (446072.73%)	0.0027	XGBoost	200	161	8	1	0	87	3	0	0	22	0.994318181818182	1.0	0.8888888888888888	1.0	1.0	1.0	0.9411764705882352	0.6666666666666666	1.0	0.994318181818182	1.0	0.937436866561092	1.0	0.8888888888888888	1.0	8.56148286263148
Mordred descriptors	A5X5Y0	15 (0.37%)	4085 (435733.33%)	0.0037	GradientBoosting	200	187	13	7	0	112	2	2	0	29	0.9705882352941176	0.967741935483871	0.65	0.5	1.0	1.0	0.787878787878788	0.4838095238095238	0.6666666666666666	0.9705882352941176	0.967741935483871	0.7821538888750429	0.6839166144230384	0.65	0.5833333333333333	5.155456785360972
Mordred descriptors	A5X5Y0	15 (0.37%)	4085 (435733.33%)	0.0037	XGBoost	200	45	12	1	1	118	0	0	2	31	0.9573367808661928	0.5	0.9230769230769232	0.0	0.9230769230769232	0.0	0.9230769230769232	0.3542857142857143	0.0	0.9573367808661928	1.0	0.9146735617323852	0.0	0.8596467634929175	1.0	21.84824973742167
Mordred descriptors	A6YCJ1	10 (0.24%)	4090 (449900.0%)	0.0024	GradientBoosting	200	47	8	0	0	80	1	0	1	20	1.0	0.75	1.0	1.0	1.0	0.5	1.0	0.7142857142857143	0.6666666666666666	1.0	1.0	1.0	0.6900655593423543	1.0	1.0	4.810667828718821
Mordred descriptors	A6YCJ1	10 (0.24%)	4090 (449900.0%)	0.0024	XGBoost	200	7	7	0	1	80	0	0	2	20	0.9375	0.5	1.0	0.0	0.875	0.0	0.9333333333333332	0.7142857142857143	0.0	0.9375	1.0	0.9296222517045284	0.0	0.8863636363636364	1.0	17.706739115715028
Mordred descriptors	B0FL73	13 (0.32%)	4087 (440138.46%)	0.0032	GradientBoosting	200	57	8	0	1	105	4	0	0	25	0.9444444444444444	1.0	1.0	1.0	0.8888888888888888	1.0	0.9411764705882352	0.8	1.0	0.9444444444444444	1.0	0.9383512906444408	1.0	0.8976608187134503	1.0	2.4400018095970157
Mordred descriptors	B0FL73	13 (0.32%)	4087 (440138.46%)	0.0032	XGBoost	200	190	8	1	1	104	2	0	2	25	0.9396825396825396	0.75	0.8888888888888888	1.0	0.8888888888888888	0.5	0.8888888888888888	0.5933333333333334	0.6666666666666666	0.9396825396825396	0.98	0.8793650793650793	0.6804138174397716	0.7988953866146848	0.8875	8.337692213058471
Mordred descriptors	C4YTQ8	46 (1.12%)	4054 (414213.04%)	0.0113	GradientBoosting	200	94	33	56	4	311	1	15	8	78	0.8696516680167906	0.4749103942652329	0.3707865168539326	0.0625	0.8918918918918919	0.1111111111111111	0.5238095238095238	0.2606326422115896	0.08	0.8696516680167906	0.4695340501792114	0.5145247613051449	-0.0391360819222754	0.3406024781038687	0.1389649107891404	27.29552667538325
Mordred descriptors	C4YTQ8	46 (1.12%)	4054 (414213.04%)	0.0113	XGBoost	200	83	28	16	9	351	1	8	8	85	0.8565800132557626	0.5125448028673835	0.6363636363636364	0.1111111111111111	0.7567567567567568	0.1111111111111111	0.691358024691358	0.126060606060606	0.1111111111111111	0.8565800132557626	0.5292712066905615	0.6603030418809785	0.025089605734767	0.5038497092952539	0.2123471398456291	16.94705701669057
Mordred descriptors	G7ZKZ7	11 (0.27%)	4089 (446072.73%)	0.0027	GradientBoosting	200	146	8	0	0	88	2	1	1	21	1.0	0.8106060606060606	1.0	0.6666666666666666	1.0	0.6666666666666666	1.0	0.5809523809523809	0.6666666666666666	1.0	0.8333333333333333	1.0	0.6212121212121212	1.0	0.4722222222222222	4.053978240489959
Mordred descriptors	G7ZKZ7	11 (0.27%)	4089 (446072.73%)	0.0027	XGBoost	200	38	6	1	2	87	0	0	3	22	0.8693181818181819	0.5	0.8571428571428571	0.0	0.75	0.0	0.7999999999999999	0.5333333333333333	0.0	0.8693181818181819	0.8484848484848485	0.7851868014348731	0.0	0.6636904761904762	0.6388888888888888	8.17928208510081
Mordred descriptors	K7GSR7	52 (1.27%)	4048 (412584.62%)	0.0128	GradientBoosting	200	83	44	15	0	398	5	14	3	93	0.9818401937046004	0.7470794392523364	0.7457627118644068	0.2631578947368421	1.0	0.625	0.8543689320388349	0.5465567765567766	0.3703703703703703	0.9818401937046004	0.8738317757009346	0.8477481342266864	0.3385252504312457	0.7457627118644068	0.3612202431810044	37.58383001883825
Mordred descriptors	K7GSR7	52 (1.27%)	4048 (412584.62%)	0.0128	XGBoost	200	51	41	22	3	391	4	9	4	98	0.9392747083425048	0.7079439252336448	0.6507936507936508	0.3076923076923077	0.9318181818181818	0.5	0.7663551401869159	0.5860395256916996	0.380952380952381	0.9392747083425048	0.884929906542056	0.7517080016359269	0.3341499139341027	0.6129859078436759	0.4644666026244974	8.079905013243357
Mordred descriptors	O08892	11 (0.27%)	4089 (446072.73%)	0.0027	GradientBoosting	200	151	8	1	0	87	2	1	1	21	0.994318181818182	0.8106060606060606	0.8888888888888888	0.6666666666666666	1.0	0.6666666666666666	0.9411764705882352	0.4333333333333333	0.6666666666666666	0.994318181818182	0.8787878787878788	0.937436866561092	0.6212121212121212	0.8888888888888888	0.7575757575757576	7.077818465232849
Mordred descriptors	O08892	11 (0.27%)	4089 (446072.73%)	0.0027	XGBoost	200	101	0	0	8	88	0	0	3	22	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.5342857142857144	0.0	0.5	0.6515151515151515	0.0	0.0	0.0833333333333333	0.238095238095238	10.791766500473022
Mordred descriptors	O14746	16 (0.39%)	4084 (433925.0%)	0.0039	GradientBoosting	200	186	12	25	1	102	0	13	3	20	0.8631132646880679	0.303030303030303	0.3243243243243243	0.0	0.9230769230769232	0.0	0.48	0.1888888888888888	0.0	0.8631132646880679	0.3383838383838383	0.4779981019237027	-0.2266790665445006	0.3065191565191565	0.0803030303030303	1.084833041826884
Mordred descriptors	O14746	16 (0.39%)	4084 (433925.0%)	0.0039	XGBoost	200	96	0	0	13	127	0	0	3	33	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.2335353535353535	0.0	0.5	0.4191919191919191	0.0	0.0	0.0928571428571428	0.0914608267549444	5.375418035189311
Mordred descriptors	O14965	12 (0.29%)	4088 (442866.67%)	0.0029	GradientBoosting	200	22	9	2	0	94	1	1	2	23	0.9895833333333331	0.6458333333333334	0.8181818181818182	0.5	1.0	0.3333333333333333	0.9	0.4	0.4	0.9895833333333331	0.5555555555555556	0.8950622121597827	0.35	0.8181818181818182	0.4262820512820512	1.779517908891042
Mordred descriptors	O14965	12 (0.29%)	4088 (442866.67%)	0.0029	XGBoost	200	176	2	0	7	96	0	0	3	24	0.6111111111111112	0.5	1.0	0.0	0.2222222222222222	0.0	0.3636363636363636	0.2333333333333333	0.0	0.6111111111111112	0.5416666666666666	0.4551040991908594	0.0	0.2888888888888888	0.15	5.226560624440511
Mordred descriptors	O43353	12 (0.29%)	4088 (442866.67%)	0.0029	GradientBoosting	200	43	9	1	0	95	1	0	2	24	0.9947916666666669	0.6666666666666666	0.9	1.0	1.0	0.3333333333333333	0.9473684210526316	0.75	0.5	0.9947916666666669	0.9444444444444444	0.9437293044088436	0.554700196225229	0.9	0.8095238095238095	3.1956685702006022
Mordred descriptors	O43353	12 (0.29%)	4088 (442866.67%)	0.0029	XGBoost	200	92	9	2	0	94	0	1	3	23	0.9895833333333331	0.4791666666666667	0.8181818181818182	0.0	1.0	0.0	0.9	0.75	0.0	0.9895833333333331	0.875	0.8950622121597827	-0.0693375245281536	0.8181818181818182	0.4888888888888888	11.609165136019389
Mordred descriptors	O43570	33 (0.8%)	4067 (419024.24%)	0.0081	GradientBoosting	200	73	25	3	1	261	1	0	6	66	0.9750874125874126	0.5714285714285714	0.8928571428571429	1.0	0.9615384615384616	0.1428571428571428	0.925925925925926	0.7103296703296704	0.25	0.9750874125874126	0.9523809523809524	0.9190994277825696	0.361873432227873	0.8619647593785525	0.6487895158063224	10.236488592624664
Mordred descriptors	O43570	33 (0.8%)	4067 (419024.24%)	0.0081	XGBoost	200	27	22	3	4	261	2	0	5	66	0.9173951048951048	0.6428571428571428	0.88	1.0	0.8461538461538461	0.2857142857142857	0.8627450980392156	0.7083116883116883	0.4444444444444445	0.9173951048951048	0.961038961038961	0.8497145271649503	0.5153577023468353	0.7584084880636605	0.7264455782312924	10.32584619919459
Mordred descriptors	O60285	12 (0.29%)	4088 (442866.67%)	0.0029	GradientBoosting	200	83	9	1	0	95	1	3	2	21	0.9947916666666669	0.6041666666666666	0.9	0.25	1.0	0.3333333333333333	0.9473684210526316	0.1666666666666666	0.2857142857142857	0.9947916666666669	0.625	0.9437293044088436	0.1843024451936214	0.9	0.4829059829059828	7.172897807757059
Mordred descriptors	O60285	12 (0.29%)	4088 (442866.67%)	0.0029	XGBoost	200	62	6	5	3	91	2	4	1	20	0.8072916666666666	0.75	0.5454545454545454	0.3333333333333333	0.6666666666666666	0.6666666666666666	0.6	0.2427239427239427	0.4444444444444444	0.8072916666666666	0.6388888888888888	0.5617943672066721	0.3779644730092272	0.3922077922077921	0.2398989898989899	13.533166976769763
Mordred descriptors	O60674	12 (0.29%)	4088 (442866.67%)	0.0029	GradientBoosting	200	59	9	0	0	96	0	1	3	23	1.0	0.4791666666666667	1.0	0.0	1.0	0.0	1.0	0.3571428571428571	0.0	1.0	0.2777777777777777	1.0	-0.0693375245281536	1.0	0.1192592592592592	10.718606809775034
Mordred descriptors	O60674	12 (0.29%)	4088 (442866.67%)	0.0029	XGBoost	200	173	0	0	9	96	0	0	3	24	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.2666666666666667	0.0	0.5	0.4444444444444444	0.0	0.0	0.0857142857142857	0.1124338624338624	5.109482459227244
Mordred descriptors	O60755	14 (0.34%)	4086 (437785.71%)	0.0034	GradientBoosting	200	53	12	0	0	111	0	3	2	26	1.0	0.4482758620689655	1.0	0.0	1.0	0.0	1.0	0.3	0.0	1.0	0.3275862068965517	1.0	-0.0859602382591879	1.0	0.0697115384615384	3.703317733605703
Mordred descriptors	O60755	14 (0.34%)	4086 (437785.71%)	0.0034	XGBoost	200	161	1	11	11	100	0	3	2	26	0.4921171171171171	0.4482758620689655	0.0833333333333333	0.0	0.0833333333333333	0.0	0.0833333333333333	0.1909420014683172	0.0	0.4921171171171171	0.4224137931034483	-0.0157657657657657	-0.0859602382591879	0.0963753387533875	0.087037037037037	5.506943122545878
Mordred descriptors	O60840	10 (0.24%)	4090 (449900.0%)	0.0024	GradientBoosting	200	168	8	0	0	80	0	1	2	19	1.0	0.475	1.0	0.0	1.0	0.0	1.0	0.5142857142857143	0.0	1.0	0.675	1.0	-0.0690065559342354	1.0	0.1825396825396825	7.39449771642685
Mordred descriptors	O60840	10 (0.24%)	4090 (449900.0%)	0.0024	XGBoost	200	57	8	0	0	80	0	0	2	20	1.0	0.5	1.0	0.0	1.0	0.0	1.0	0.4666666666666667	0.0	1.0	0.575	1.0	0.0	1.0	0.1458333333333333	11.507537718613944
Mordred descriptors	O70212	13 (0.32%)	4087 (440138.46%)	0.0032	GradientBoosting	200	164	9	2	0	103	1	3	3	22	0.9904761904761904	0.565	0.8181818181818182	0.25	1.0	0.25	0.9	0.4	0.25	0.9904761904761904	0.76	0.895878006537387	0.13	0.8181818181818182	0.3326048951048951	6.487840525309244
Mordred descriptors	O70212	13 (0.32%)	4087 (440138.46%)	0.0032	XGBoost	200	187	2	3	7	102	0	4	4	21	0.5968253968253968	0.42	0.4	0.0	0.2222222222222222	0.0	0.2857142857142857	0.3796581196581196	0.0	0.5968253968253968	0.6799999999999999	0.2549980940317158	-0.16	0.1502923976608187	0.2325609031491384	14.006174767017365
Mordred descriptors	O70528	27 (0.66%)	4073 (422385.19%)	0.0066	GradientBoosting	200	33	20	0	0	217	3	3	4	50	1.0	0.6859838274932615	1.0	0.5	1.0	0.4285714285714285	1.0	0.6214285714285714	0.4615384615384615	1.0	0.797843665768194	1.0	0.3980335009325598	1.0	0.584054834054834	3.105713621775309
Mordred descriptors	O70528	27 (0.66%)	4073 (422385.19%)	0.0066	XGBoost	200	86	20	0	0	217	3	1	4	52	1.0	0.7048517520215634	1.0	0.75	1.0	0.4285714285714285	1.0	0.4038095238095238	0.5454545454545454	1.0	0.8490566037735849	1.0	0.5272694681368005	1.0	0.5209538080966652	23.118029336134597
Mordred descriptors	O75030	12 (0.29%)	4088 (442866.67%)	0.0029	GradientBoosting	200	130	9	1	0	95	1	1	2	23	0.9947916666666669	0.6458333333333334	0.9	0.5	1.0	0.3333333333333333	0.9473684210526316	0.1480693219823654	0.4	0.9947916666666669	0.6388888888888888	0.9437293044088436	0.35	0.9	0.4415204678362573	2.5265395998954774
Mordred descriptors	O75030	12 (0.29%)	4088 (442866.67%)	0.0029	XGBoost	200	10	9	86	0	10	3	19	0	5	0.5520833333333334	0.6041666666666666	0.0947368421052631	0.1363636363636363	1.0	1.0	0.173076923076923	0.1480693219823654	0.24	0.5520833333333333	0.3333333333333333	0.0993399267798782	0.1685499656158105	0.0947368421052631	0.1033249158249158	6.232622067133586
Mordred descriptors	O76074	10 (0.24%)	4090 (449900.0%)	0.0024	GradientBoosting	200	109	8	2	0	78	1	2	1	18	0.9875	0.7	0.8	0.3333333333333333	1.0	0.5	0.888888888888889	0.5333333333333333	0.4	0.9875	0.7999999999999999	0.8831760866327847	0.3350831266333564	0.8	0.2916666666666666	1.7165030797322591
Mordred descriptors	O76074	10 (0.24%)	4090 (449900.0%)	0.0024	XGBoost	200	199	1	0	7	80	0	0	2	20	0.5625	0.5	1.0	0.0	0.125	0.0	0.2222222222222222	0.190749601275917	0.0	0.5625	0.375	0.3390317518104052	0.0	0.2045454545454545	0.1055555555555555	9.059167583783468
Mordred descriptors	O94806	10 (0.24%)	4090 (449900.0%)	0.0024	GradientBoosting	200	49	8	2	0	78	1	1	1	19	0.9875	0.725	0.8	0.5	1.0	0.5	0.888888888888889	0.5633333333333332	0.5	0.9875	0.975	0.8831760866327847	0.45	0.8	0.8333333333333333	3.387681551774343
Mordred descriptors	O94806	10 (0.24%)	4090 (449900.0%)	0.0024	XGBoost	200	6	7	1	1	79	0	0	2	20	0.93125	0.5	0.875	0.0	0.875	0.0	0.875	0.2	0.0	0.93125	0.95	0.8625	0.0	0.7769886363636364	0.75	15.4668452501297
Mordred descriptors	O95069	10 (0.24%)	4090 (449900.0%)	0.0024	GradientBoosting	200	29	8	3	0	77	1	1	1	19	0.98125	0.725	0.7272727272727273	0.5	1.0	0.5	0.8421052631578948	0.4	0.5	0.98125	0.925	0.8366600265340756	0.45	0.7272727272727273	0.7	1.929649023214976
Mordred descriptors	O95069	10 (0.24%)	4090 (449900.0%)	0.0024	XGBoost	200	103	1	0	7	80	0	0	2	20	0.5625	0.5	1.0	0.0	0.125	0.0	0.2222222222222222	0.4	0.0	0.5625	0.65	0.3390317518104052	0.0	0.2045454545454545	0.5625	6.79209687312444
Mordred descriptors	O95153	10 (0.24%)	4090 (449900.0%)	0.0024	GradientBoosting	200	173	8	3	0	77	0	4	2	16	0.98125	0.4	0.7272727272727273	0.0	1.0	0.0	0.8421052631578948	0.3333333333333333	0.0	0.98125	0.625	0.8366600265340756	-0.1490711984999859	0.7272727272727273	0.1666666666666666	1.9862218499183653
Mordred descriptors	O95153	10 (0.24%)	4090 (449900.0%)	0.0024	XGBoost	200	94	1	0	7	80	0	0	2	20	0.5625	0.5	1.0	0.0	0.125	0.0	0.2222222222222222	0.1673498126587371	0.0	0.5625	0.2749999999999999	0.3390317518104052	0.0	0.2045454545454545	0.0912698412698412	8.797485506534576
Mordred descriptors	O95180	31 (0.76%)	4069 (420025.81%)	0.0076	GradientBoosting	200	178	25	11	1	235	2	6	3	58	0.958411507191995	0.653125	0.6944444444444444	0.25	0.9615384615384616	0.4	0.8064516129032258	0.4247419247419247	0.3076923076923077	0.9584115071919952	0.825	0.7954858927702507	0.247994001117293	0.671411513323278	0.4509324009324009	5.534024691581726
Mordred descriptors	O95180	31 (0.76%)	4069 (420025.81%)	0.0076	XGBoost	200	160	23	7	3	239	2	2	3	62	0.9280800500312696	0.684375	0.7666666666666667	0.5	0.8846153846153846	0.4	0.8214285714285715	0.3077777777777777	0.4444444444444445	0.9280800500312696	0.8281250000000001	0.8036018013223301	0.4090913947161065	0.6892345399698341	0.4535164835164834	14.985189680258433
Mordred descriptors	O95264	15 (0.37%)	4085 (435733.33%)	0.0037	GradientBoosting	200	187	13	7	0	112	2	2	0	29	0.9705882352941176	0.967741935483871	0.65	0.5	1.0	1.0	0.787878787878788	0.4838095238095238	0.6666666666666666	0.9705882352941176	0.967741935483871	0.7821538888750429	0.6839166144230384	0.65	0.5833333333333333	4.787868042786916
Mordred descriptors	O95264	15 (0.37%)	4085 (435733.33%)	0.0037	XGBoost	200	45	12	1	1	118	0	0	2	31	0.9573367808661928	0.5	0.9230769230769232	0.0	0.9230769230769232	0.0	0.9230769230769232	0.3542857142857143	0.0	0.9573367808661928	1.0	0.9146735617323852	0.0	0.8596467634929175	1.0	21.248798616727196
Mordred descriptors	O95342	25 (0.61%)	4075 (423800.0%)	0.0061	GradientBoosting	200	71	19	4	0	197	0	2	6	47	0.9900497512437813	0.4795918367346938	0.8260869565217391	0.0	1.0	0.0	0.9047619047619048	0.4571428571428571	0.0	0.990049751243781	0.7346938775510204	0.8998040981782762	-0.0679758502044123	0.8260869565217391	0.2550934207910952	8.478169989585876
Mordred descriptors	O95342	25 (0.61%)	4075 (423800.0%)	0.0061	XGBoost	200	162	15	3	4	198	0	2	6	47	0.887274155538099	0.4795918367346938	0.8333333333333334	0.0	0.7894736842105263	0.0	0.8108108108108109	0.4466666666666666	0.0	0.887274155538099	0.7823129251700681	0.7938005641081965	-0.0679758502044123	0.6760765550239235	0.2539258127493422	19.70466236670812
Mordred descriptors	O95819	21 (0.51%)	4079 (427323.81%)	0.0051	GradientBoosting	200	189	16	2	0	166	1	0	4	42	0.9940476190476192	0.6	0.8888888888888888	1.0	1.0	0.2	0.9411764705882352	0.6880952380952381	0.3333333333333333	0.9940476190476192	0.8476190476190477	0.9371802805793976	0.4273273869671518	0.8888888888888888	0.4855555555555556	14.781234367688496
Mordred descriptors	O95819	21 (0.51%)	4079 (427323.81%)	0.0051	XGBoost	200	117	15	0	1	168	1	0	4	42	0.96875	0.6	1.0	1.0	0.9375	0.2	0.967741935483871	0.4733333333333333	0.3333333333333333	0.96875	0.8857142857142858	0.965376953693164	0.4273273869671518	0.9429347826086956	0.5143939393939394	15.066377127170565
Mordred descriptors	P00519	14 (0.34%)	4086 (437785.71%)	0.0034	GradientBoosting	200	171	10	0	2	111	0	1	2	28	0.9166666666666669	0.4827586206896552	1.0	0.0	0.8333333333333334	0.0	0.9090909090909092	0.4333333333333333	0.0	0.9166666666666669	0.706896551724138	0.9047563599093738	-0.0479463301485384	0.8495934959349594	0.1547619047619047	5.50449499686559
Mordred descriptors	P00519	14 (0.34%)	4086 (437785.71%)	0.0034	XGBoost	200	6	10	0	2	111	1	0	1	29	0.9166666666666669	0.75	1.0	1.0	0.8333333333333334	0.5	0.9090909090909092	0.2	0.6666666666666666	0.9166666666666669	0.9827586206896552	0.9047563599093738	0.695221787153807	0.8495934959349594	0.8333333333333333	14.95011781056722
Mordred descriptors	P00533	39 (0.95%)	4061 (416512.82%)	0.0096	GradientBoosting	200	184	22	52	7	262	7	10	3	66	0.7965077970568856	0.7842105263157895	0.2972972972972973	0.4117647058823529	0.7586206896551724	0.7	0.4271844660194174	0.3989105829088851	0.5185185185185185	0.7965077970568856	0.8710526315789473	0.4010864006976474	0.4575388166528725	0.2459440439736006	0.4695457393483709	1.0742408196131388
Mordred descriptors	P00533	39 (0.95%)	4061 (416512.82%)	0.0096	XGBoost	200	193	28	6	1	308	4	1	6	75	0.9732044805622666	0.6934210526315789	0.8235294117647058	0.8	0.9655172413793104	0.4	0.888888888888889	0.4628205128205128	0.5333333333333333	0.9732044805622668	0.938157894736842	0.8810974990724971	0.5299233090271576	0.7980472977368287	0.7355248917748917	15.948373500506085
Mordred descriptors	P00734	10 (0.24%)	4090 (449900.0%)	0.0024	GradientBoosting	200	181	8	1	0	79	1	3	1	17	0.99375	0.675	0.8888888888888888	0.25	1.0	0.5	0.9411764705882352	0.2666666666666667	0.3333333333333333	0.99375	0.525	0.936897954837013	0.2608745973749754	0.8888888888888888	0.219298245614035	0.7853089729944865
Mordred descriptors	P00734	10 (0.24%)	4090 (449900.0%)	0.0024	XGBoost	200	161	4	3	4	77	0	0	2	20	0.73125	0.5	0.5714285714285714	0.0	0.5	0.0	0.5333333333333333	0.2398601398601398	0.0	0.7312500000000001	0.7500000000000001	0.4913717616152507	0.0	0.3311688311688311	0.225	8.866462683677673
Mordred descriptors	P00750	11 (0.27%)	4089 (446072.73%)	0.0027	GradientBoosting	200	170	8	9	0	79	0	2	3	20	0.9488636363636364	0.4545454545454545	0.4705882352941176	0.0	1.0	0.0	0.6399999999999999	0.44	0.0	0.9488636363636364	0.6212121212121211	0.6499691477663601	-0.1088931012960941	0.4705882352941176	0.188034188034188	1.489645036061605
Mordred descriptors	P00750	11 (0.27%)	4089 (446072.73%)	0.0027	XGBoost	200	122	1	0	7	88	0	0	3	22	0.5625	0.5	1.0	0.0	0.125	0.0	0.2222222222222222	0.2165079365079365	0.0	0.5625	0.7424242424242423	0.3402785236893603	0.0	0.1979166666666666	0.5069444444444444	11.075537383556366
Mordred descriptors	P00915	30 (0.73%)	4070 (420566.67%)	0.0074	GradientBoosting	200	131	24	0	0	240	6	0	0	60	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7647619047619048	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.040861956278484
Mordred descriptors	P00915	30 (0.73%)	4070 (420566.67%)	0.0074	XGBoost	200	73	20	3	4	237	5	0	1	60	0.9104166666666668	0.9166666666666669	0.8695652173913043	1.0	0.8333333333333334	0.8333333333333334	0.851063829787234	0.7123809523809523	0.9090909090909092	0.9104166666666668	1.0	0.8367462734767096	0.9053574604251854	0.7397891963109354	1.0	16.170095356305442
Mordred descriptors	P00918	39 (0.95%)	4061 (416512.82%)	0.0096	GradientBoosting	200	42	28	16	1	298	7	2	3	74	0.9572809136832858	0.8368421052631578	0.6363636363636364	0.7777777777777778	0.9655172413793104	0.7	0.7671232876712328	0.6295098039215686	0.7368421052631577	0.9572809136832858	0.9776315789473684	0.7608778843768426	0.7054992355866744	0.6173355145909685	0.8878008021390374	4.0755216161410015
Mordred descriptors	P00918	39 (0.95%)	4061 (416512.82%)	0.0096	XGBoost	200	83	25	8	4	306	8	1	2	75	0.918295629255436	0.8934210526315789	0.7575757575757576	0.8888888888888888	0.8620689655172413	0.8	0.8064516129032258	0.5788461538461538	0.8421052631578948	0.918295629255436	0.981578947368421	0.7892949578778271	0.8240010603141236	0.6647443572144486	0.9169172932330828	31.07281449238459
Mordred descriptors	P01375	14 (0.34%)	4086 (437785.71%)	0.0034	GradientBoosting	200	86	12	0	0	111	2	3	0	26	1.0	0.9482758620689656	1.0	0.4	1.0	1.0	1.0	0.36	0.5714285714285715	1.0	0.9827586206896552	1.0	0.5988494716163423	1.0	0.8333333333333333	4.3162965178489685
Mordred descriptors	P01375	14 (0.34%)	4086 (437785.71%)	0.0034	XGBoost	200	18	9	0	3	111	1	2	1	27	0.875	0.7155172413793103	1.0	0.3333333333333333	0.75	0.5	0.8571428571428571	0.3	0.4	0.875	0.913793103448276	0.8545543621647115	0.358167659413283	0.774390243902439	0.3666666666666667	19.473499166965485
Mordred descriptors	P03372	31 (0.76%)	4069 (420025.81%)	0.0076	GradientBoosting	200	179	26	1	0	245	1	3	4	61	0.9979674796747968	0.5765625	0.9629629629629628	0.25	1.0	0.2	0.981132075471698	0.6745054945054945	0.2222222222222222	0.9979674796747968	0.80625	0.9793102058968254	0.1698769350939764	0.9629629629629628	0.3978571428571429	8.041729040940602
Mordred descriptors	P03372	31 (0.76%)	4069 (420025.81%)	0.0076	XGBoost	200	38	23	2	3	244	2	4	3	60	0.9382426516572856	0.66875	0.92	0.3333333333333333	0.8846153846153846	0.4	0.9019607843137256	0.6758119658119658	0.3636363636363636	0.9382426516572856	0.753125	0.8920318988488045	0.3105295017040594	0.8248755656108597	0.4906832298136646	20.565804652373
Mordred descriptors	P04150	15 (0.37%)	4085 (435733.33%)	0.0037	GradientBoosting	200	97	13	0	0	119	2	2	0	29	1.0	0.967741935483871	1.0	0.5	1.0	1.0	1.0	0.7314285714285714	0.6666666666666666	1.0	0.9838709677419356	1.0	0.6839166144230384	1.0	0.8333333333333333	6.072279306252797
Mordred descriptors	P04150	15 (0.37%)	4085 (435733.33%)	0.0037	XGBoost	200	78	13	1	0	118	2	1	0	30	0.9957983193277312	0.9838709677419356	0.9285714285714286	0.6666666666666666	1.0	1.0	0.962962962962963	0.6933333333333334	0.8	0.9957983193277312	0.9838709677419354	0.959566728957882	0.8032193289024988	0.9285714285714286	0.8333333333333333	9.357716914017995
Mordred descriptors	P04156	11 (0.27%)	4089 (446072.73%)	0.0027	GradientBoosting	200	30	8	4	0	84	1	2	2	20	0.9772727272727272	0.6212121212121212	0.6666666666666666	0.3333333333333333	1.0	0.3333333333333333	0.8	0.5133333333333333	0.3333333333333333	0.9772727272727272	0.6818181818181819	0.7977240352174656	0.2424242424242424	0.6666666666666666	0.2518518518518519	1.920952133337657
Mordred descriptors	P04156	11 (0.27%)	4089 (446072.73%)	0.0027	XGBoost	200	150	0	0	8	88	0	0	3	22	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.3078669043374925	0.0	0.5	0.4848484848484848	0.0	0.0	0.0833333333333333	0.2535014005602241	11.52339539527893
Mordred descriptors	P04278	10 (0.24%)	4090 (449900.0%)	0.0024	GradientBoosting	200	1	8	0	0	80	1	0	1	20	1.0	0.75	1.0	1.0	1.0	0.5	1.0	0.8	0.6666666666666666	1.0	1.0	1.0	0.6900655593423543	1.0	1.0	6.287624009450277
Mordred descriptors	P04278	10 (0.24%)	4090 (449900.0%)	0.0024	XGBoost	200	59	8	0	0	80	1	0	1	20	1.0	0.75	1.0	1.0	1.0	0.5	1.0	0.75	0.6666666666666666	1.0	1.0	1.0	0.6900655593423543	1.0	1.0	12.94976768096288
Mordred descriptors	P04626	16 (0.39%)	4084 (433925.0%)	0.0039	GradientBoosting	200	36	13	3	0	124	0	4	3	29	0.9881889763779528	0.4393939393939394	0.8125	0.0	1.0	0.0	0.896551724137931	0.3	0.0	0.9881889763779528	0.515151515151515	0.8906778803889615	-0.1066003581778052	0.8125	0.12705486234898	8.241559779644012
Mordred descriptors	P04626	16 (0.39%)	4084 (433925.0%)	0.0039	XGBoost	200	165	0	0	13	127	0	0	3	33	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.2065367965367965	0.0	0.5	0.2727272727272727	0.0	0.0	0.0928571428571428	0.0738095238095238	7.224070274829865
